Branch	Store Name	Date	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
MID-KALAMA	Mint Kalamazoo	2026-01-06	0	548.36	11	171.86	62.50	0.00	376.50
MID-KALAMA	Mint Kalamazoo	2026-01-06	1	243.05	7	42.98	33.21	0.00	200.07
MID-KALAMA	Mint Kalamazoo	2026-01-06	2	65.40	1	16.35	8.14	0.00	49.05
MID-KALAMA	Mint Kalamazoo	2026-01-06	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-06	14	453.36	6	124.62	54.57	0.00	328.74
MID-KALAMA	Mint Kalamazoo	2026-01-06	15	356.79	6	77.85	46.29	0.00	278.94
MID-KALAMA	Mint Kalamazoo	2026-01-06	16	97.75	4	38.98	9.75	0.00	58.77
MID-KALAMA	Mint Kalamazoo	2026-01-06	17	188.91	5	39.62	24.78	0.00	149.29
MID-KALAMA	Mint Kalamazoo	2026-01-06	18	223.86	6	65.50	26.29	0.00	158.36
MID-KALAMA	Mint Kalamazoo	2026-01-06	19	436.03	15	57.45	62.85	0.00	378.58
MID-KALAMA	Mint Kalamazoo	2026-01-06	20	796.05	11	192.29	100.02	0.00	603.76
MID-KALAMA	Mint Kalamazoo	2026-01-06	21	572.92	11	179.76	65.25	0.00	393.16
MID-KALAMA	Mint Kalamazoo	2026-01-06	22	423.06	9	168.30	42.28	0.00	254.76
MID-KALAMA	Mint Kalamazoo	2026-01-06	23	920.72	16	236.43	113.32	0.00	684.29
MID-KALAMA	Mint Kalamazoo	2026-01-07	0	146.40	8	22.66	20.55	0.00	123.74
MID-KALAMA	Mint Kalamazoo	2026-01-07	1	507.30	12	171.01	55.83	0.00	336.29
MID-KALAMA	Mint Kalamazoo	2026-01-07	2	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-07	14	776.20	13	208.63	94.19	0.00	567.57
MID-KALAMA	Mint Kalamazoo	2026-01-07	15	75.90	3	11.39	10.71	0.00	64.51
MID-KALAMA	Mint Kalamazoo	2026-01-07	16	251.90	4	62.99	31.36	0.00	188.91
MID-KALAMA	Mint Kalamazoo	2026-01-07	17	208.50	4	66.88	23.50	0.00	141.62
MID-KALAMA	Mint Kalamazoo	2026-01-07	18	585.23	10	139.32	73.01	0.00	445.91
MID-KALAMA	Mint Kalamazoo	2026-01-07	19	545.02	11	157.49	64.32	0.00	387.53
MID-KALAMA	Mint Kalamazoo	2026-01-07	20	423.17	8	101.05	53.47	0.00	322.12
MID-KALAMA	Mint Kalamazoo	2026-01-07	21	1091.59	17	354.62	122.35	0.00	736.97
MID-KALAMA	Mint Kalamazoo	2026-01-07	22	1010.51	17	266.42	123.52	0.00	744.09
MID-KALAMA	Mint Kalamazoo	2026-01-07	23	270.97	10	42.81	37.35	0.00	228.16
MID-KALAMA	Mint Kalamazoo	2026-01-08	0	218.82	7	34.83	30.54	0.00	183.99
MID-KALAMA	Mint Kalamazoo	2026-01-08	1	226.58	6	56.65	28.20	0.00	169.93
MID-KALAMA	Mint Kalamazoo	2026-01-08	2	64.50	1	4.50	9.96	0.00	60.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-08	14	262.86	8	73.76	31.20	0.00	189.10
MID-KALAMA	Mint Kalamazoo	2026-01-08	15	116.76	5	34.91	13.59	0.00	81.85
MID-KALAMA	Mint Kalamazoo	2026-01-08	16	446.05	9	105.15	56.58	0.00	340.90
MID-KALAMA	Mint Kalamazoo	2026-01-08	17	49.25	3	13.43	5.95	0.00	35.82
MID-KALAMA	Mint Kalamazoo	2026-01-08	18	326.81	8	96.23	38.27	0.00	230.58
MID-KALAMA	Mint Kalamazoo	2026-01-08	19	475.88	10	99.55	62.47	0.00	376.33
MID-KALAMA	Mint Kalamazoo	2026-01-08	20	654.73	13	120.68	88.65	0.00	534.05
MID-KALAMA	Mint Kalamazoo	2026-01-08	21	396.40	7	159.04	39.41	0.00	237.36
MID-KALAMA	Mint Kalamazoo	2026-01-08	22	406.90	8	124.45	46.88	0.00	282.45
MID-KALAMA	Mint Kalamazoo	2026-01-08	23	434.63	11	120.37	52.00	0.00	314.26
MID-KALAMA	Mint Kalamazoo	2026-01-09	0	487.65	10	105.50	62.59	0.00	382.15
MID-KALAMA	Mint Kalamazoo	2026-01-09	1	213.85	6	61.91	25.24	0.00	151.94
MID-KALAMA	Mint Kalamazoo	2026-01-09	2	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-09	14	610.85	9	248.76	60.10	0.00	362.09
MID-KALAMA	Mint Kalamazoo	2026-01-09	15	515.15	8	235.99	46.35	0.00	279.16
MID-KALAMA	Mint Kalamazoo	2026-01-09	16	184.76	6	48.26	22.53	0.00	136.50
MID-KALAMA	Mint Kalamazoo	2026-01-09	17	152.20	5	22.41	21.54	0.00	129.79
MID-KALAMA	Mint Kalamazoo	2026-01-09	18	377.80	10	107.10	44.94	0.00	270.70
MID-KALAMA	Mint Kalamazoo	2026-01-09	19	798.69	11	215.25	96.86	0.00	583.44
MID-KALAMA	Mint Kalamazoo	2026-01-09	20	535.69	15	122.74	68.55	0.00	412.95
MID-KALAMA	Mint Kalamazoo	2026-01-09	21	1050.15	21	192.90	142.31	0.00	857.25
MID-KALAMA	Mint Kalamazoo	2026-01-09	22	1096.61	22	274.00	136.55	0.00	822.61
MID-KALAMA	Mint Kalamazoo	2026-01-09	23	1223.82	22	526.32	115.81	0.00	697.50
MID-KALAMA	Mint Kalamazoo	2026-01-10	0	304.04	11	72.55	38.43	0.00	231.49
MID-KALAMA	Mint Kalamazoo	2026-01-10	1	426.13	6	78.11	57.77	0.00	348.02
MID-KALAMA	Mint Kalamazoo	2026-01-10	2	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	6	0.00	0	0.00	0.00	0.00	0.00
