Branch	Store Name	Date	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
MID-KALAMA	Mint Kalamazoo	2026-01-10	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	14	313.00	5	186.54	20.99	0.00	126.46
MID-KALAMA	Mint Kalamazoo	2026-01-10	15	490.90	6	98.02	65.22	0.00	392.88
MID-KALAMA	Mint Kalamazoo	2026-01-10	16	188.40	4	9.43	29.70	0.00	178.97
MID-KALAMA	Mint Kalamazoo	2026-01-10	17	1299.84	15	295.30	166.77	0.00	1004.54
MID-KALAMA	Mint Kalamazoo	2026-01-10	18	593.46	16	97.07	82.39	0.00	496.39
MID-KALAMA	Mint Kalamazoo	2026-01-10	19	1289.21	21	267.10	169.66	0.00	1022.11
MID-KALAMA	Mint Kalamazoo	2026-01-10	20	473.37	14	157.37	52.45	0.00	316.00
MID-KALAMA	Mint Kalamazoo	2026-01-10	21	640.48	14	148.03	78.17	0.00	492.45
MID-KALAMA	Mint Kalamazoo	2026-01-10	22	313.32	6	69.74	40.43	0.00	243.58
MID-KALAMA	Mint Kalamazoo	2026-01-10	23	796.05	14	247.45	91.06	0.00	548.60
MID-KALAMA	Mint Kalamazoo	2026-01-11	0	304.67	8	51.76	41.98	0.00	252.91
MID-KALAMA	Mint Kalamazoo	2026-01-11	1	372.73	10	85.73	47.65	0.00	287.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	2	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-11	14	429.97	10	99.47	54.87	0.00	330.50
MID-KALAMA	Mint Kalamazoo	2026-01-11	15	328.16	6	69.05	43.00	0.00	259.11
MID-KALAMA	Mint Kalamazoo	2026-01-11	16	74.25	3	6.01	11.33	0.00	68.24
MID-KALAMA	Mint Kalamazoo	2026-01-11	17	482.39	13	77.53	67.21	0.00	404.86
MID-KALAMA	Mint Kalamazoo	2026-01-11	18	401.93	5	120.17	46.77	0.00	281.76
MID-KALAMA	Mint Kalamazoo	2026-01-11	19	650.51	11	202.39	74.38	0.00	448.12
MID-KALAMA	Mint Kalamazoo	2026-01-11	20	272.06	9	65.67	34.26	0.00	206.39
MID-KALAMA	Mint Kalamazoo	2026-01-11	21	264.65	7	46.01	36.29	0.00	218.64
MID-KALAMA	Mint Kalamazoo	2026-01-11	22	313.28	5	61.02	41.88	0.00	252.26
MID-KALAMA	Mint Kalamazoo	2026-01-11	23	747.49	15	120.84	104.04	0.00	626.65
MID-KALAMA	Mint Kalamazoo	2026-01-12	0	254.79	9	37.49	36.06	0.00	217.30
MID-KALAMA	Mint Kalamazoo	2026-01-12	1	161.30	2	35.60	20.87	0.00	125.70
MID-KALAMA	Mint Kalamazoo	2026-01-12	2	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	14	265.17	6	70.77	32.26	0.00	194.40
MID-KALAMA	Mint Kalamazoo	2026-01-12	15	588.68	10	311.68	45.97	0.00	277.00
MID-KALAMA	Mint Kalamazoo	2026-01-12	16	61.25	3	12.06	8.18	0.00	49.19
MID-KALAMA	Mint Kalamazoo	2026-01-12	17	251.82	6	70.26	30.13	0.00	181.56
MID-KALAMA	Mint Kalamazoo	2026-01-12	18	461.04	10	96.26	60.56	0.00	364.78
MID-KALAMA	Mint Kalamazoo	2026-01-12	19	467.00	4	113.99	58.60	0.00	353.01
MID-KALAMA	Mint Kalamazoo	2026-01-12	20	592.45	11	123.67	77.81	0.00	468.78
MID-KALAMA	Mint Kalamazoo	2026-01-12	21	509.62	10	189.35	53.17	0.00	320.27
MID-KALAMA	Mint Kalamazoo	2026-01-12	22	720.41	20	197.17	86.85	0.00	523.24
MID-KALAMA	Mint Kalamazoo	2026-01-12	23	318.12	9	86.88	38.38	0.00	231.24
NVD-RAIN	Mint Spring Valley	2026-01-06	0	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	1	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	2	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	3	196.00	5	34.39	29.20	0.00	161.61
NVD-RAIN	Mint Spring Valley	2026-01-06	4	476.00	11	170.07	56.23	0.00	305.93
NVD-RAIN	Mint Spring Valley	2026-01-06	5	747.50	11	247.57	91.88	0.00	499.93
NVD-RAIN	Mint Spring Valley	2026-01-06	6	166.00	8	57.47	17.19	0.00	108.53
NVD-RAIN	Mint Spring Valley	2026-01-06	7	170.00	6	41.19	23.66	0.00	128.81
NVD-RAIN	Mint Spring Valley	2026-01-06	8	363.00	9	144.48	40.15	0.00	218.52
NVD-RAIN	Mint Spring Valley	2026-01-06	9	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	10	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	11	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	12	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	13	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	14	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	15	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	16	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	17	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	18	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-06	19	75.00	2	30.00	8.27	0.00	45.00
NVD-RAIN	Mint Spring Valley	2026-01-06	20	168.00	2	52.99	20.54	0.00	115.01
NVD-RAIN	Mint Spring Valley	2026-01-06	21	131.50	3	7.00	22.87	0.00	124.50
NVD-RAIN	Mint Spring Valley	2026-01-06	22	288.00	6	78.66	32.48	0.00	209.34
NVD-RAIN	Mint Spring Valley	2026-01-06	23	848.00	6	243.41	104.75	0.00	604.59
NVD-RAIN	Mint Spring Valley	2026-01-07	0	116.00	4	36.99	14.52	0.00	79.01
NVD-RAIN	Mint Spring Valley	2026-01-07	1	277.50	6	94.10	33.71	0.00	183.40
NVD-RAIN	Mint Spring Valley	2026-01-07	2	619.50	11	230.97	71.40	0.00	388.53
NVD-RAIN	Mint Spring Valley	2026-01-07	3	284.50	6	96.87	34.27	0.00	187.63
NVD-RAIN	Mint Spring Valley	2026-01-07	4	496.50	8	175.19	58.64	0.00	321.31
NVD-RAIN	Mint Spring Valley	2026-01-07	5	337.00	7	127.46	38.50	0.00	209.54
NVD-RAIN	Mint Spring Valley	2026-01-07	6	146.00	4	40.00	19.49	0.00	106.00
NVD-RAIN	Mint Spring Valley	2026-01-07	7	247.00	5	28.40	40.17	0.00	218.60
NVD-RAIN	Mint Spring Valley	2026-01-07	8	239.00	5	86.85	27.97	0.00	152.15
NVD-RAIN	Mint Spring Valley	2026-01-07	9	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	10	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	11	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	12	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	13	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	14	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	15	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	16	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	17	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	18	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-07	19	190.50	2	59.10	24.14	0.00	131.40
NVD-RAIN	Mint Spring Valley	2026-01-07	20	307.00	4	127.98	32.90	0.00	179.02
NVD-RAIN	Mint Spring Valley	2026-01-07	21	208.50	4	73.12	24.88	0.00	135.38
NVD-RAIN	Mint Spring Valley	2026-01-07	22	143.00	3	25.00	21.68	0.00	118.00
NVD-RAIN	Mint Spring Valley	2026-01-07	23	94.01	3	15.90	14.36	0.00	78.11
NVD-RAIN	Mint Spring Valley	2026-01-08	0	228.50	6	30.00	36.49	0.00	198.50
NVD-RAIN	Mint Spring Valley	2026-01-08	1	260.00	4	89.39	31.36	0.00	170.61
NVD-RAIN	Mint Spring Valley	2026-01-08	2	185.00	4	79.53	19.39	0.00	105.47
NVD-RAIN	Mint Spring Valley	2026-01-08	3	172.50	6	14.36	29.06	0.00	158.14
NVD-RAIN	Mint Spring Valley	2026-01-08	4	243.01	6	36.79	37.90	0.00	206.22
NVD-RAIN	Mint Spring Valley	2026-01-08	5	392.50	8	86.21	56.28	0.00	306.29
NVD-RAIN	Mint Spring Valley	2026-01-08	6	522.00	10	203.97	54.64	0.00	318.03
NVD-RAIN	Mint Spring Valley	2026-01-08	7	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	8	177.02	4	72.99	19.11	0.00	104.03
NVD-RAIN	Mint Spring Valley	2026-01-08	9	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	10	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	11	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	12	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	13	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	14	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	15	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	16	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	17	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	18	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-08	19	138.00	2	42.20	17.61	0.00	95.80
NVD-RAIN	Mint Spring Valley	2026-01-08	20	285.00	9	79.10	37.84	0.00	205.90
NVD-RAIN	Mint Spring Valley	2026-01-08	21	73.00	3	4.90	12.52	0.00	68.10
NVD-RAIN	Mint Spring Valley	2026-01-08	22	267.50	6	45.52	40.19	0.00	221.98
NVD-RAIN	Mint Spring Valley	2026-01-08	23	132.00	5	32.00	18.38	0.00	100.00
NVD-RAIN	Mint Spring Valley	2026-01-09	0	100.00	4	25.99	13.61	0.00	74.01
NVD-RAIN	Mint Spring Valley	2026-01-09	1	134.50	5	46.02	16.27	0.00	88.48
NVD-RAIN	Mint Spring Valley	2026-01-09	2	157.00	4	69.98	15.80	0.00	87.02
NVD-RAIN	Mint Spring Valley	2026-01-09	3	518.00	7	182.87	61.29	0.00	335.13
NVD-RAIN	Mint Spring Valley	2026-01-09	4	519.00	12	130.77	71.34	0.00	388.23
NVD-RAIN	Mint Spring Valley	2026-01-09	5	639.00	8	257.94	70.03	0.00	381.06
NVD-RAIN	Mint Spring Valley	2026-01-09	6	219.00	6	75.19	26.41	0.00	143.81
NVD-RAIN	Mint Spring Valley	2026-01-09	7	187.50	7	24.35	29.98	0.00	163.15
NVD-RAIN	Mint Spring Valley	2026-01-09	8	214.01	5	54.94	28.93	0.00	159.07
NVD-RAIN	Mint Spring Valley	2026-01-09	9	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	10	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	11	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	12	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	13	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	14	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	15	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	16	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	17	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	18	0.00	0	0.00	0.00	0.00	0.00
NVD-RAIN	Mint Spring Valley	2026-01-09	19	66.02	3	2.00	11.77	0.00	64.02
NVD-RAIN	Mint Spring Valley	2026-01-09	20	74.00	2	21.60	9.63	0.00	52.40
NVD-RAIN	Mint Spring Valley	2026-01-09	21	588.00	12	187.26	73.65	0.00	400.74
NVD-RAIN	Mint Spring Valley	2026-01-09	22	344.00	6	173.96	31.26	0.00	170.04
NVD-RAIN	Mint Spring Valley	2026-01-09	23	600.00	11	300.94	52.36	0.00	299.06
NVD-RAIN	Mint Spring Valley	2026-01-10	0	502.50	10	181.34	59.01	0.00	321.16
NVD-RAIN	Mint Spring Valley	2026-01-10	1	625.51	13	221.86	73.63	0.00	403.65
NVD-RAIN	Mint Spring Valley	2026-01-10	2	281.00	10	61.99	40.24	0.00	219.01
NVD-RAIN	Mint Spring Valley	2026-01-10	3	537.50	9	174.98	66.62	0.00	362.52
NVD-RAIN	Mint Spring Valley	2026-01-10	4	649.51	7	117.00	97.86	0.00	532.51
NVD-RAIN	Mint Spring Valley	2026-01-10	5	537.00	11	151.13	70.92	0.00	385.87
NVD-RAIN	Mint Spring Valley	2026-01-10	6	281.01	5	93.00	34.57	0.00	188.01
NVD-RAIN	Mint Spring Valley	2026-01-10	7	696.51	7	215.47	88.40	0.00	481.04
NVD-RAIN	Mint Spring Valley	2026-01-10	8	181.01	4	45.00	24.99	0.00	136.01
NVD-RAIN	Mint Spring Valley	2026-01-10	9	0.00	0	0.00	0.00	0.00	0.00
