# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
AZD-ELMIRA,Mint El Mirage,40001,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,"13,065.00"
AZD-ELMIRA,Mint El Mirage,40002,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,"5,113.95",0.00
AZD-ELMIRA,Mint El Mirage,40003,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-ELMIRA,Mint El Mirage,40004,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-ELMIRA,Mint El Mirage,23500,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,"2,002.52"
AZD-ELMIRA,Mint El Mirage,10000,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,"9,954.00",0.00
AZD-ELMIRA,Mint El Mirage,11010,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-ELMIRA,Mint El Mirage,70260,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.43,0.00
AZD-ELMIRA,Mint El Mirage,50000,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,"6,823.29",0.00
AZD-ELMIRA,Mint El Mirage,12250,2026-01-06 DS - Mint El Mirage: Daily Sales,00-00,2026-01-06 DS,0.00,"6,823.29"
NVD-PARA,Mint Las Vegas Strip ,40001,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,"17,583.28"
NVD-PARA,Mint Las Vegas Strip ,40002,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,"6,292.13",0.00
NVD-PARA,Mint Las Vegas Strip ,40003,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-PARA,Mint Las Vegas Strip ,40004,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-PARA,Mint Las Vegas Strip ,23500,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,"2,041.18"
NVD-PARA,Mint Las Vegas Strip ,10000,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,"12,630.66",0.00
NVD-PARA,Mint Las Vegas Strip ,11010,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-PARA,Mint Las Vegas Strip ,70260,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,701.67
NVD-PARA,Mint Las Vegas Strip ,50000,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,"6,014.53",0.00
NVD-PARA,Mint Las Vegas Strip ,12250,2026-01-06 DS - Mint Las Vegas Strip : Daily Sales,00-00,2026-01-06 DS,0.00,"6,014.53"
FLD-LONGWO,Mint Longwood,40001,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,"1,550.00"
FLD-LONGWO,Mint Longwood,40002,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,885.00,0.00
FLD-LONGWO,Mint Longwood,40003,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-LONGWO,Mint Longwood,40004,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-LONGWO,Mint Longwood,23500,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-LONGWO,Mint Longwood,10000,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,177.50,0.00
FLD-LONGWO,Mint Longwood,11010,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,480.00,0.00
FLD-LONGWO,Mint Longwood,70260,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,7.50
FLD-LONGWO,Mint Longwood,50000,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,342.77,0.00
FLD-LONGWO,Mint Longwood,12250,2026-01-06 DS - Mint Longwood: Daily Sales,00-00,2026-01-06 DS,0.00,342.77
FLD-MELBOU,Mint Melbourne,40001,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,"7,387.00"
FLD-MELBOU,Mint Melbourne,40002,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,"3,998.40",0.00
FLD-MELBOU,Mint Melbourne,40003,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MELBOU,Mint Melbourne,40004,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MELBOU,Mint Melbourne,23500,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MELBOU,Mint Melbourne,10000,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,"1,768.60",0.00
FLD-MELBOU,Mint Melbourne,11010,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,"1,620.00",0.00
FLD-MELBOU,Mint Melbourne,70260,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MELBOU,Mint Melbourne,50000,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,"1,386.66",0.00
FLD-MELBOU,Mint Melbourne,12250,2026-01-06 DS - Mint Melbourne: Daily Sales,00-00,2026-01-06 DS,0.00,"1,386.66"
AZV-EBA,Mint Scottsdale,40001,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,"32,302.52"
AZV-EBA,Mint Scottsdale,40002,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,"11,627.70",0.00
AZV-EBA,Mint Scottsdale,40003,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-EBA,Mint Scottsdale,40004,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-EBA,Mint Scottsdale,23500,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,"4,637.47"
AZV-EBA,Mint Scottsdale,10000,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,"24,270.70",0.00
AZV-EBA,Mint Scottsdale,11010,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-EBA,Mint Scottsdale,70260,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,"1,041.59"
AZV-EBA,Mint Scottsdale,50000,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,"12,010.09",0.00
AZV-EBA,Mint Scottsdale,12250,2026-01-06 DS - Mint Scottsdale: Daily Sales,00-00,2026-01-06 DS,0.00,"12,010.09"
ILD-WILLOW,Mint Willowbrook,40001,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,"8,757.62"
ILD-WILLOW,Mint Willowbrook,40002,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,"2,592.98",0.00
ILD-WILLOW,Mint Willowbrook,40003,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
ILD-WILLOW,Mint Willowbrook,40004,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
ILD-WILLOW,Mint Willowbrook,23500,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,"1,697.75"
ILD-WILLOW,Mint Willowbrook,10000,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,"6,983.58",0.00
ILD-WILLOW,Mint Willowbrook,11010,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
ILD-WILLOW,Mint Willowbrook,70260,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,878.81
ILD-WILLOW,Mint Willowbrook,50000,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,"4,288.32",0.00
ILD-WILLOW,Mint Willowbrook,12250,2026-01-06 DS - Mint Willowbrook: Daily Sales,00-00,2026-01-06 DS,0.00,"4,288.32"
FLD-BRANDO,Mint Brandon,40001,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,0.00,"4,805.00"
FLD-BRANDO,Mint Brandon,40002,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,"2,476.65",0.00
FLD-BRANDO,Mint Brandon,40003,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,28.80,0.00
FLD-BRANDO,Mint Brandon,40004,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRANDO,Mint Brandon,23500,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRANDO,Mint Brandon,10000,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,934.35,0.00
FLD-BRANDO,Mint Brandon,11010,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,"1,330.00",0.00
FLD-BRANDO,Mint Brandon,70260,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,0.00,35.20
FLD-BRANDO,Mint Brandon,50000,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,"1,076.11",0.00
FLD-BRANDO,Mint Brandon,12250,2026-01-06 DS - Mint Brandon: Daily Sales,00-00,2026-01-06 DS,0.00,"1,076.11"
MID-COLDWA,Mint Coldwater,40001,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,0.00,"9,721.50"
MID-COLDWA,Mint Coldwater,40002,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,"2,676.44",0.00
MID-COLDWA,Mint Coldwater,40003,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-COLDWA,Mint Coldwater,40004,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,274.96,0.00
MID-COLDWA,Mint Coldwater,23500,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,0.00,"1,169.46"
MID-COLDWA,Mint Coldwater,10000,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,"8,214.52",0.00
MID-COLDWA,Mint Coldwater,11010,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-COLDWA,Mint Coldwater,70260,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,274.96,0.00
MID-COLDWA,Mint Coldwater,50000,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,"4,541.11",0.00
MID-COLDWA,Mint Coldwater,12250,2026-01-06 DS - Mint Coldwater: Daily Sales,00-00,2026-01-06 DS,0.00,"4,541.11"
FLD-GAINES,Mint Gainesville,40001,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,"2,845.00"
FLD-GAINES,Mint Gainesville,40002,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,"1,588.05",0.00
FLD-GAINES,Mint Gainesville,40003,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-GAINES,Mint Gainesville,40004,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-GAINES,Mint Gainesville,23500,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-GAINES,Mint Gainesville,10000,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,916.95,0.00
FLD-GAINES,Mint Gainesville,11010,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,340.00,0.00
FLD-GAINES,Mint Gainesville,70260,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-GAINES,Mint Gainesville,50000,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,646.29,0.00
FLD-GAINES,Mint Gainesville,12250,2026-01-06 DS - Mint Gainesville: Daily Sales,00-00,2026-01-06 DS,0.00,646.29
AZV-GTL,Mint Northern Phoenix,40001,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"24,389.50"
AZV-GTL,Mint Northern Phoenix,40002,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,"9,134.79",0.00
AZV-GTL,Mint Northern Phoenix,40003,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-GTL,Mint Northern Phoenix,40004,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-GTL,Mint Northern Phoenix,23500,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"3,622.04"
AZV-GTL,Mint Northern Phoenix,10000,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,"18,385.19",0.00
AZV-GTL,Mint Northern Phoenix,11010,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-GTL,Mint Northern Phoenix,70260,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,491.56
AZV-GTL,Mint Northern Phoenix,50000,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,"7,476.85",0.00
AZV-GTL,Mint Northern Phoenix,12250,2026-01-06 DS - Mint Northern Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"7,476.85"
FLD-STAUGU,Mint St. Augustine,40001,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,"7,998.00"
FLD-STAUGU,Mint St. Augustine,40002,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,"4,174.40",0.00
FLD-STAUGU,Mint St. Augustine,40003,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STAUGU,Mint St. Augustine,40004,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STAUGU,Mint St. Augustine,23500,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STAUGU,Mint St. Augustine,10000,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,"1,769.60",0.00
FLD-STAUGU,Mint St. Augustine,11010,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,"1,980.00",0.00
FLD-STAUGU,Mint St. Augustine,70260,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,74.00
FLD-STAUGU,Mint St. Augustine,50000,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,"1,799.01",0.00
FLD-STAUGU,Mint St. Augustine,12250,2026-01-06 DS - Mint St. Augustine: Daily Sales,00-00,2026-01-06 DS,0.00,"1,799.01"
MID-MONROE,Mint Monroe,40001,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,0.00,"14,395.60"
MID-MONROE,Mint Monroe,40002,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,"2,816.65",0.00
MID-MONROE,Mint Monroe,40003,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-MONROE,Mint Monroe,40004,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,426.30,0.00
MID-MONROE,Mint Monroe,23500,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,0.00,"1,916.87"
MID-MONROE,Mint Monroe,10000,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,"13,478.33",0.00
MID-MONROE,Mint Monroe,11010,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-MONROE,Mint Monroe,70260,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,408.81,0.00
MID-MONROE,Mint Monroe,50000,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,"6,657.58",0.00
MID-MONROE,Mint Monroe,12250,2026-01-06 DS - Mint Monroe: Daily Sales,00-00,2026-01-06 DS,0.00,"6,657.58"
MID-NB,Mint New Buffalo,40001,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,0.00,"3,708.89"
MID-NB,Mint New Buffalo,40002,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,796.17,0.00
MID-NB,Mint New Buffalo,40003,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,46.64,0.00
MID-NB,Mint New Buffalo,40004,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,14.26,0.00
MID-NB,Mint New Buffalo,23500,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,0.00,473.83
MID-NB,Mint New Buffalo,10000,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,"3,318.18",0.00
MID-NB,Mint New Buffalo,11010,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-NB,Mint New Buffalo,70260,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,0.00,7.47
MID-NB,Mint New Buffalo,50000,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,"1,648.78",0.00
MID-NB,Mint New Buffalo,12250,2026-01-06 DS - Mint New Buffalo: Daily Sales,00-00,2026-01-06 DS,0.00,"1,648.78"
AZV-SWT,Mint Tempe,40001,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,"62,748.66"
AZV-SWT,Mint Tempe,40002,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,"20,092.41",0.00
AZV-SWT,Mint Tempe,40003,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-SWT,Mint Tempe,40004,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-SWT,Mint Tempe,23500,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,"11,160.77"
AZV-SWT,Mint Tempe,10000,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,"48,815.50",0.00
AZV-SWT,Mint Tempe,11010,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-SWT,Mint Tempe,70260,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,"5,001.52"
AZV-SWT,Mint Tempe,50000,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,"32,070.96",0.00
AZV-SWT,Mint Tempe,12250,2026-01-06 DS - Mint Tempe: Daily Sales,00-00,2026-01-06 DS,0.00,"32,070.96"
