Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Brandon,175851160,2026-01-13T15:14:16.897,509960473,13804383,22302316,1,120,52,120,38.3,14,g,9751312612296728,MC.SRH.120925.FLA,Mint Cannabis,No,No,Renewal Discount: $75 off orders $150+,38.3,
Mint Brandon,175851160,2026-01-13T15:14:16.897,509960626,13804386,22302314,1,20,,20,6.38,0.1,g,5350096864752053,MCP.CD.RSO.MCH.CA.112525.FLA,Mint Cannabis,No,No,Renewal Discount: $75 off orders $150+,6.38,
Mint Brandon,175851636,2026-01-13T16:07:45.167,509962308,13804383,22302316,1,120,52,120,72,14,g,9751312612296728,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Brandon,175851636,2026-01-13T16:07:45.167,509962310,13804383,22302316,1,120,52,120,72,14,g,9751312612296728,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Brandon,175851983,2026-01-13T16:33:54.92,509963089,13804384,22287605,1,35,,35,15,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint Brandon,175851983,2026-01-13T16:33:54.92,509963098,13804384,22287605,1,35,,35,15,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint Brandon,175851983,2026-01-13T16:33:54.92,509963114,13801714,22260385,1,5,0.32,5,5,,g,00362,00362,Mint Cannabis,No,No,100 Loyalty Points FREE Product,5,
Mint Brandon,175851983,2026-01-13T16:33:54.92,509963122,13804064,22235323,1,12,3.36,12,0,,g,6194140447956216,6194140447956216,Mint Cannabis,No,No,,,
Mint Brandon,175852299,2026-01-13T17:09:29.82,509964205,13804384,22287605,1,35,,35,21,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965704,13804363,22302300,1,35,10.5,35,17.5,3.5,g,2853856352907565,MC.MEL.121125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965705,13804363,22302300,1,35,10.5,35,17.5,3.5,g,2853856352907565,MC.MEL.121125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965707,13804363,22302300,1,35,10.5,35,17.5,3.5,g,2853856352907565,MC.MEL.121125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965711,13804363,22302300,1,35,10.5,35,17.5,3.5,g,2853856352907565,MC.MEL.121125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965713,13804384,22287605,1,35,,35,17.5,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
