Branch	Store Name	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
AZV-ENCANT	Mint 75th Ave Phoenix	13	0.00	0	0.00	0.00	0.00	0.00
AZV-ENCANT	Mint 75th Ave Phoenix	14	0.00	0	0.00	0.00	0.00	0.00
AZV-ENCANT	Mint 75th Ave Phoenix	15	0.00	1	0.00	0.00	0.00	0.00
AZV-ENCANT	Mint 75th Ave Phoenix	16	0.00	1	0.00	0.00	0.00	0.00
AZV-ENCANT	Mint 75th Ave Phoenix	17	6409.00	94	2602.00	833.66	0.00	3807.00
AZV-ENCANT	Mint 75th Ave Phoenix	18	7625.00	109	3414.33	969.19	0.00	4210.67
AZV-ENCANT	Mint 75th Ave Phoenix	19	10880.00	154	4273.08	1524.96	0.00	6606.92
AZV-ENCANT	Mint 75th Ave Phoenix	20	12421.50	172	4927.71	1810.29	0.00	7493.79
AZV-ENCANT	Mint 75th Ave Phoenix	21	13361.00	176	5631.07	1662.44	0.00	7729.93
AZV-ENCANT	Mint 75th Ave Phoenix	22	13901.00	204	5963.05	1906.20	0.00	7937.95
AZV-ENCANT	Mint 75th Ave Phoenix	23	13089.00	207	5536.88	1755.44	0.00	7552.12
MID-ROSE	Mint Roseville	0	4512.75	92	1249.03	535.63	0.00	3263.72
MID-ROSE	Mint Roseville	1	4245.15	84	1137.25	515.94	0.00	3107.90
MID-ROSE	Mint Roseville	2	102.46	2	33.15	11.50	0.00	69.31
MID-ROSE	Mint Roseville	3	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	4	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	5	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	6	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	7	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	8	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	9	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	10	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	11	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	12	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	13	0.00	0	0.00	0.00	0.00	0.00
MID-ROSE	Mint Roseville	14	3126.35	51	980.78	356.16	0.00	2145.57
MID-ROSE	Mint Roseville	15	3595.99	64	1022.88	427.13	0.00	2573.11
MID-ROSE	Mint Roseville	16	4197.43	72	886.76	545.79	0.00	3310.67
MID-ROSE	Mint Roseville	17	6083.84	121	1581.70	747.20	0.00	4502.14
MID-ROSE	Mint Roseville	18	4260.39	90	962.34	542.17	0.00	3298.05
MID-ROSE	Mint Roseville	19	5239.10	107	1100.79	685.96	0.00	4138.31
MID-ROSE	Mint Roseville	20	5170.83	109	1083.32	675.09	0.00	4087.51
MID-ROSE	Mint Roseville	21	5024.88	108	1251.22	625.04	0.00	3773.66
MID-ROSE	Mint Roseville	22	6240.53	125	1637.03	763.92	0.00	4603.50
MID-ROSE	Mint Roseville	23	6734.65	132	1585.06	852.99	0.00	5149.59
AZD-BUCK	Mint Buckeye/Verado	0	35267.50	490	12775.42	4979.57	0.00	22492.08
AZD-BUCK	Mint Buckeye/Verado	1	38774.51	572	14258.68	5431.05	0.00	24515.83
AZD-BUCK	Mint Buckeye/Verado	2	37111.01	544	13598.74	5197.85	0.00	23512.27
AZD-BUCK	Mint Buckeye/Verado	3	33161.51	499	12341.34	4612.59	0.00	20820.17
AZD-BUCK	Mint Buckeye/Verado	4	33388.00	559	11869.94	4749.63	0.00	21518.06
AZD-BUCK	Mint Buckeye/Verado	5	26988.00	436	9137.41	3954.21	0.00	17850.59
AZD-BUCK	Mint Buckeye/Verado	6	22232.00	376	7505.23	3247.79	0.00	14726.77
AZD-BUCK	Mint Buckeye/Verado	7	19031.00	314	6786.50	2677.60	0.00	12244.50
AZD-BUCK	Mint Buckeye/Verado	8	16373.50	256	5909.33	2312.48	0.00	10464.17
AZD-BUCK	Mint Buckeye/Verado	9	9500.00	160	3490.76	1327.36	0.00	6009.24
AZD-BUCK	Mint Buckeye/Verado	10	4532.00	86	1588.07	650.76	0.00	2943.93
AZD-BUCK	Mint Buckeye/Verado	11	4421.00	65	1657.06	612.93	0.00	2763.94
AZD-BUCK	Mint Buckeye/Verado	12	2944.00	51	954.34	438.01	0.00	1989.66
AZD-BUCK	Mint Buckeye/Verado	13	4333.00	71	1488.12	627.16	0.00	2844.88
AZD-BUCK	Mint Buckeye/Verado	14	4606.51	68	1617.09	653.38	0.00	2989.42
AZD-BUCK	Mint Buckeye/Verado	15	4021.99	82	1443.45	561.97	0.00	2578.54
AZD-BUCK	Mint Buckeye/Verado	16	7003.00	107	2560.73	986.20	0.00	4442.27
AZD-BUCK	Mint Buckeye/Verado	17	12144.50	173	4259.32	1744.84	0.00	7885.18
AZD-BUCK	Mint Buckeye/Verado	18	12896.50	190	4335.67	1895.71	0.00	8560.83
AZD-BUCK	Mint Buckeye/Verado	19	20934.51	276	7388.92	2956.73	0.00	13545.59
AZD-BUCK	Mint Buckeye/Verado	20	24362.51	337	8659.96	3483.27	0.00	15702.55
AZD-BUCK	Mint Buckeye/Verado	21	25695.52	339	9370.79	3619.36	0.00	16324.73
AZD-BUCK	Mint Buckeye/Verado	22	26458.00	380	9513.06	3762.45	0.00	16944.94
AZD-BUCK	Mint Buckeye/Verado	23	31619.00	449	11527.82	4456.62	0.00	20091.18
FLD-CAPECO	Mint Cape Coral	0	1880.00	16	1096.00	0.00	0.00	784.00
FLD-CAPECO	Mint Cape Coral	1	1264.00	9	714.40	0.00	0.00	549.60
FLD-CAPECO	Mint Cape Coral	2	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	3	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	4	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	5	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	6	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	7	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	8	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	9	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	10	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	11	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	12	0.00	0	0.00	0.00	0.00	0.00
FLD-CAPECO	Mint Cape Coral	13	1221.00	12	663.55	0.00	0.00	557.45
FLD-CAPECO	Mint Cape Coral	14	1496.00	11	802.25	0.00	0.00	693.75
FLD-CAPECO	Mint Cape Coral	15	1699.99	10	872.74	0.00	0.00	827.25
FLD-CAPECO	Mint Cape Coral	16	1846.00	13	975.75	0.00	0.00	870.25
FLD-CAPECO	Mint Cape Coral	17	2175.00	16	1124.80	0.00	0.00	1050.20
FLD-CAPECO	Mint Cape Coral	18	4791.00	30	2406.83	0.00	0.00	2384.17
FLD-CAPECO	Mint Cape Coral	19	3042.00	18	1557.20	0.00	0.00	1484.80
FLD-CAPECO	Mint Cape Coral	20	4743.00	14	2692.50	0.00	0.00	2050.50
FLD-CAPECO	Mint Cape Coral	21	2507.00	18	1287.40	0.00	20.00	1199.60
FLD-CAPECO	Mint Cape Coral	22	3015.00	16	1695.50	0.00	0.00	1319.50
FLD-CAPECO	Mint Cape Coral	23	3272.00	19	1875.43	0.00	0.00	1396.57
AZD-ELMIRA	Mint El Mirage	0	8923.00	130	3622.08	1335.97	0.00	5300.92
AZD-ELMIRA	Mint El Mirage	1	14269.99	187	5662.92	2166.54	0.00	8607.07
AZD-ELMIRA	Mint El Mirage	2	8595.00	125	3274.94	1340.04	0.00	5320.06
AZD-ELMIRA	Mint El Mirage	3	9255.50	152	3618.20	1421.41	0.00	5637.30
AZD-ELMIRA	Mint El Mirage	4	9244.00	124	3752.09	1376.66	0.00	5491.91
AZD-ELMIRA	Mint El Mirage	5	6606.50	116	2570.46	1014.62	0.00	4036.04
AZD-ELMIRA	Mint El Mirage	6	6312.50	97	2592.50	937.63	0.00	3720.00
AZD-ELMIRA	Mint El Mirage	7	4432.50	72	1745.93	674.43	0.00	2686.57
AZD-ELMIRA	Mint El Mirage	8	4435.03	68	1688.30	691.67	0.00	2746.73
AZD-ELMIRA	Mint El Mirage	9	66.00	1	18.00	12.14	0.00	48.00
AZD-ELMIRA	Mint El Mirage	10	0.00	0	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	11	0.00	3	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	12	0.00	0	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	13	0.00	0	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	14	0.00	0	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	15	0.00	0	0.00	0.00	0.00	0.00
AZD-ELMIRA	Mint El Mirage	16	1034.00	19	410.95	157.31	0.00	623.05
AZD-ELMIRA	Mint El Mirage	17	2229.00	32	946.16	322.02	0.00	1282.84
AZD-ELMIRA	Mint El Mirage	18	3539.00	57	1301.59	565.82	0.00	2237.41
AZD-ELMIRA	Mint El Mirage	19	3952.00	60	1630.95	587.30	0.00	2321.05
AZD-ELMIRA	Mint El Mirage	20	5701.00	86	2296.55	860.79	0.00	3404.45
AZD-ELMIRA	Mint El Mirage	21	6598.00	93	2519.90	1030.23	0.00	4078.10
AZD-ELMIRA	Mint El Mirage	22	7784.50	99	3381.34	1111.78	0.00	4403.16
AZD-ELMIRA	Mint El Mirage	23	9845.00	132	3810.48	1520.76	0.00	6034.52
NVD-PARA	Mint Las Vegas Strip 	0	10640.01	168	3315.57	1320.86	0.00	7324.44
NVD-PARA	Mint Las Vegas Strip 	1	11361.26	181	3561.22	1401.83	0.00	7800.04
NVD-PARA	Mint Las Vegas Strip 	2	10822.26	182	3496.47	1327.28	0.00	7325.79
NVD-PARA	Mint Las Vegas Strip 	3	12919.75	212	4351.73	1535.71	0.00	8568.02
NVD-PARA	Mint Las Vegas Strip 	4	12458.52	199	4293.79	1459.78	0.00	8164.73
NVD-PARA	Mint Las Vegas Strip 	5	9690.76	172	3264.31	1161.59	0.00	6426.45
NVD-PARA	Mint Las Vegas Strip 	6	9444.77	198	3183.15	1133.56	0.00	6261.62
NVD-PARA	Mint Las Vegas Strip 	7	8048.70	163	2552.43	991.32	0.00	5496.27
NVD-PARA	Mint Las Vegas Strip 	8	7270.92	145	2468.53	866.82	0.00	4802.39
NVD-PARA	Mint Las Vegas Strip 	9	7922.95	162	2699.19	946.62	0.00	5223.76
NVD-PARA	Mint Las Vegas Strip 	10	6762.62	121	2440.69	781.74	0.00	4321.93
NVD-PARA	Mint Las Vegas Strip 	11	2975.50	63	1220.78	315.62	0.00	1754.72
NVD-PARA	Mint Las Vegas Strip 	12	2739.26	57	1012.84	315.52	0.00	1726.42
NVD-PARA	Mint Las Vegas Strip 	13	1515.50	34	546.45	177.04	0.00	969.05
NVD-PARA	Mint Las Vegas Strip 	14	1074.25	27	463.76	111.59	0.00	610.49
NVD-PARA	Mint Las Vegas Strip 	15	691.50	20	242.40	82.51	0.00	449.10
NVD-PARA	Mint Las Vegas Strip 	16	1105.00	29	472.37	115.64	0.00	632.63
NVD-PARA	Mint Las Vegas Strip 	17	1259.75	27	438.33	150.12	0.00	821.42
NVD-PARA	Mint Las Vegas Strip 	18	2230.76	43	818.56	257.51	0.00	1412.20
NVD-PARA	Mint Las Vegas Strip 	19	5614.25	97	1769.50	702.45	0.00	3844.75
NVD-PARA	Mint Las Vegas Strip 	20	7164.25	112	2386.22	868.21	0.00	4778.03
NVD-PARA	Mint Las Vegas Strip 	21	6966.52	116	2433.20	824.76	0.00	4533.32
NVD-PARA	Mint Las Vegas Strip 	22	8598.75	130	2572.88	1080.15	0.00	6025.87
NVD-PARA	Mint Las Vegas Strip 	23	9082.75	159	3005.76	1108.85	0.00	6076.99
FLD-LONGWO	Mint Longwood	0	1448.00	12	863.80	0.00	0.00	584.20
FLD-LONGWO	Mint Longwood	1	2273.00	20	1281.05	0.00	0.00	991.95
FLD-LONGWO	Mint Longwood	2	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	3	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	4	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	5	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	6	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	7	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	8	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	9	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	10	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	11	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	12	0.00	0	0.00	0.00	0.00	0.00
FLD-LONGWO	Mint Longwood	13	535.00	6	289.00	0.00	0.00	246.00
FLD-LONGWO	Mint Longwood	14	510.00	2	293.50	0.00	0.00	216.50
FLD-LONGWO	Mint Longwood	15	1915.00	10	1112.25	0.00	0.00	802.75
FLD-LONGWO	Mint Longwood	16	1630.00	12	987.95	0.00	0.00	642.05
FLD-LONGWO	Mint Longwood	17	1480.00	9	916.25	0.00	0.00	563.75
FLD-LONGWO	Mint Longwood	18	1415.00	9	776.00	0.00	0.00	639.00
FLD-LONGWO	Mint Longwood	19	2778.00	14	1643.65	0.00	0.00	1134.35
FLD-LONGWO	Mint Longwood	20	2109.00	12	1379.50	0.00	0.00	729.50
FLD-LONGWO	Mint Longwood	21	1879.00	15	1190.26	0.00	0.00	688.74
FLD-LONGWO	Mint Longwood	22	1930.00	13	1140.45	0.00	0.00	789.55
FLD-LONGWO	Mint Longwood	23	3110.00	21	1724.10	0.00	0.00	1385.90
FLD-MELBOU	Mint Melbourne	0	3062.00	20	1622.80	0.00	0.00	1439.20
FLD-MELBOU	Mint Melbourne	1	793.00	7	472.30	0.00	0.00	320.70
FLD-MELBOU	Mint Melbourne	2	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	3	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	4	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	5	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	6	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	7	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	8	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	9	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	10	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	11	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	12	0.00	0	0.00	0.00	0.00	0.00
FLD-MELBOU	Mint Melbourne	13	2275.00	17	1258.20	0.00	0.00	1016.80
FLD-MELBOU	Mint Melbourne	14	2851.00	19	1607.05	0.00	0.00	1243.95
FLD-MELBOU	Mint Melbourne	15	5849.00	27	3238.95	0.00	0.00	2610.05
FLD-MELBOU	Mint Melbourne	16	4135.00	19	2178.05	0.00	0.00	1956.95
FLD-MELBOU	Mint Melbourne	17	5604.00	32	2991.12	0.00	0.00	2612.88
FLD-MELBOU	Mint Melbourne	18	4388.00	33	2221.20	0.00	0.00	2166.80
FLD-MELBOU	Mint Melbourne	19	6129.00	40	3248.85	0.00	0.00	2880.15
FLD-MELBOU	Mint Melbourne	20	6534.99	41	3563.39	0.00	0.00	2971.60
FLD-MELBOU	Mint Melbourne	21	6452.00	38	3560.90	0.00	0.00	2891.10
FLD-MELBOU	Mint Melbourne	22	4630.99	34	2805.36	0.00	0.00	1825.63
FLD-MELBOU	Mint Melbourne	23	3735.00	25	2165.50	0.00	0.00	1569.50
AZV-EBA	Mint Scottsdale	0	26235.02	303	10234.03	3389.97	0.00	16000.99
AZV-EBA	Mint Scottsdale	1	27721.05	357	10135.43	3869.11	0.00	17585.62
AZV-EBA	Mint Scottsdale	2	23949.50	323	8671.30	3492.18	0.00	15278.20
AZV-EBA	Mint Scottsdale	3	22183.01	324	8276.84	3098.79	0.00	13906.17
AZV-EBA	Mint Scottsdale	4	18380.55	270	6643.14	2679.89	0.00	11737.41
AZV-EBA	Mint Scottsdale	5	12841.00	199	5032.33	1785.76	0.00	7808.67
AZV-EBA	Mint Scottsdale	6	13518.51	193	5104.75	1938.46	0.00	8413.76
AZV-EBA	Mint Scottsdale	7	664.00	7	231.20	104.08	0.00	432.80
AZV-EBA	Mint Scottsdale	8	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	9	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	10	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	11	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	12	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	13	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	14	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	15	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	16	0.00	0	0.00	0.00	0.00	0.00
AZV-EBA	Mint Scottsdale	17	9128.00	113	3533.67	1181.63	0.00	5594.33
AZV-EBA	Mint Scottsdale	18	12252.51	137	4912.86	1598.71	0.00	7339.65
AZV-EBA	Mint Scottsdale	19	13780.00	168	4819.87	2019.55	0.00	8960.13
AZV-EBA	Mint Scottsdale	20	20668.00	228	8358.32	2728.41	0.00	12309.68
AZV-EBA	Mint Scottsdale	21	20033.50	244	7921.87	2775.15	0.00	12111.63
AZV-EBA	Mint Scottsdale	22	24867.00	299	10535.70	3164.35	0.00	14331.30
AZV-EBA	Mint Scottsdale	23	29137.54	323	11979.14	3724.82	0.00	17158.40
ILD-WILLOW	Mint Willowbrook	0	10455.15	126	3486.80	1934.92	0.00	6968.35
ILD-WILLOW	Mint Willowbrook	1	8332.19	99	2788.54	1523.99	0.00	5543.65
ILD-WILLOW	Mint Willowbrook	2	6778.62	83	2416.16	1198.77	0.00	4362.46
ILD-WILLOW	Mint Willowbrook	3	5317.12	72	1725.62	962.03	0.00	3591.50
ILD-WILLOW	Mint Willowbrook	4	6780.43	98	2239.03	1212.63	0.00	4541.40
ILD-WILLOW	Mint Willowbrook	5	733.00	11	229.28	134.98	0.00	503.72
ILD-WILLOW	Mint Willowbrook	6	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	7	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	8	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	9	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	10	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	11	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	12	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	13	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	14	0.00	0	0.00	0.00	0.00	0.00
ILD-WILLOW	Mint Willowbrook	15	2905.03	45	725.73	575.07	0.00	2179.30
ILD-WILLOW	Mint Willowbrook	16	2692.03	40	847.00	481.06	0.00	1845.03
ILD-WILLOW	Mint Willowbrook	17	4123.59	52	954.64	856.68	0.00	3168.95
ILD-WILLOW	Mint Willowbrook	18	4772.06	65	1300.01	923.72	0.00	3472.05
ILD-WILLOW	Mint Willowbrook	19	6135.06	79	1899.07	1170.07	0.00	4235.99
ILD-WILLOW	Mint Willowbrook	20	5546.12	66	1607.25	1084.65	0.00	3938.87
ILD-WILLOW	Mint Willowbrook	21	6672.60	78	1811.14	1311.73	0.00	4861.46
ILD-WILLOW	Mint Willowbrook	22	7270.66	83	2481.20	1319.44	0.00	4789.46
ILD-WILLOW	Mint Willowbrook	23	7938.22	99	2262.90	1616.28	0.00	5675.32
FLD-BRANDO	Mint Brandon	0	3553.00	23	2032.90	0.00	0.00	1520.10
FLD-BRANDO	Mint Brandon	1	4327.00	35	2523.00	0.00	0.00	1804.00
FLD-BRANDO	Mint Brandon	2	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	3	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	4	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	5	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	6	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	7	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	8	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	9	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	10	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	11	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	12	0.00	0	0.00	0.00	0.00	0.00
FLD-BRANDO	Mint Brandon	13	580.00	8	248.70	0.00	0.00	331.30
FLD-BRANDO	Mint Brandon	14	3235.00	20	1746.50	0.00	0.00	1488.50
FLD-BRANDO	Mint Brandon	15	2287.99	16	1318.59	0.00	0.00	969.40
FLD-BRANDO	Mint Brandon	16	1546.99	12	719.84	0.00	0.00	827.15
FLD-BRANDO	Mint Brandon	17	1310.00	13	650.35	0.00	0.00	659.65
FLD-BRANDO	Mint Brandon	18	4519.98	23	2617.43	0.00	28.80	1873.75
FLD-BRANDO	Mint Brandon	19	1641.00	12	850.30	0.00	0.00	790.70
FLD-BRANDO	Mint Brandon	20	2688.00	14	1638.20	0.00	0.00	1049.80
FLD-BRANDO	Mint Brandon	21	2544.99	19	1380.49	0.00	0.00	1164.50
FLD-BRANDO	Mint Brandon	22	3946.00	24	2197.25	0.00	0.00	1748.75
FLD-BRANDO	Mint Brandon	23	3318.00	25	1847.15	0.00	0.00	1470.85
MID-COLDWA	Mint Coldwater	0	7540.49	70	3008.08	746.80	0.00	4532.41
MID-COLDWA	Mint Coldwater	1	3627.34	44	1336.82	380.22	0.00	2290.52
MID-COLDWA	Mint Coldwater	2	516.01	4	121.32	65.52	0.00	394.69
MID-COLDWA	Mint Coldwater	3	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	4	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	5	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	6	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	7	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	8	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	9	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	10	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	11	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	12	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	13	0.00	0	0.00	0.00	0.00	0.00
MID-COLDWA	Mint Coldwater	14	6835.15	72	1903.61	818.27	0.00	4931.54
MID-COLDWA	Mint Coldwater	15	10435.29	102	2990.92	1233.21	0.00	7444.37
MID-COLDWA	Mint Coldwater	16	11839.04	137	3076.66	1448.91	0.00	8762.38
MID-COLDWA	Mint Coldwater	17	12920.23	147	3063.54	1636.17	0.00	9856.69
MID-COLDWA	Mint Coldwater	18	11725.48	110	3234.20	1402.01	0.00	8491.28
MID-COLDWA	Mint Coldwater	19	9345.67	104	2673.23	1107.02	0.00	6672.44
MID-COLDWA	Mint Coldwater	20	6427.03	70	1695.23	785.52	0.00	4731.80
MID-COLDWA	Mint Coldwater	21	7576.95	89	1953.73	933.28	0.00	5623.22
MID-COLDWA	Mint Coldwater	22	8123.59	84	2588.21	918.57	0.00	5535.38
MID-COLDWA	Mint Coldwater	23	8720.78	75	3330.67	894.80	46.64	5343.47
FLD-GAINES	Mint Gainesville	0	1649.00	17	948.55	0.00	0.00	700.45
FLD-GAINES	Mint Gainesville	1	895.00	10	480.20	0.00	0.00	414.80
FLD-GAINES	Mint Gainesville	2	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	3	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	4	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	5	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	6	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	7	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	8	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	9	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	10	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	11	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	12	0.00	0	0.00	0.00	0.00	0.00
FLD-GAINES	Mint Gainesville	13	1023.00	11	563.50	0.00	0.00	459.50
FLD-GAINES	Mint Gainesville	14	768.00	8	436.05	0.00	0.00	331.95
FLD-GAINES	Mint Gainesville	15	2215.00	14	1229.55	0.00	0.00	985.45
FLD-GAINES	Mint Gainesville	16	1457.00	12	820.25	0.00	0.00	636.75
FLD-GAINES	Mint Gainesville	17	2059.00	10	1097.15	0.00	0.00	961.85
FLD-GAINES	Mint Gainesville	18	3148.00	22	1720.30	0.00	0.00	1427.70
FLD-GAINES	Mint Gainesville	19	1610.00	9	912.45	0.00	0.00	697.55
FLD-GAINES	Mint Gainesville	20	1490.00	8	945.45	0.00	0.00	544.55
FLD-GAINES	Mint Gainesville	21	1545.00	9	898.00	0.00	0.00	647.00
FLD-GAINES	Mint Gainesville	22	1615.00	13	913.05	0.00	0.00	701.95
FLD-GAINES	Mint Gainesville	23	2144.00	21	1222.71	0.00	0.00	921.29
AZV-GTL	Mint Northern Phoenix	0	20678.00	310	8360.77	2876.06	0.00	12317.23
AZV-GTL	Mint Northern Phoenix	1	21961.50	335	9119.10	2973.39	0.00	12842.40
AZV-GTL	Mint Northern Phoenix	2	21684.00	366	9213.85	2853.62	0.00	12470.15
AZV-GTL	Mint Northern Phoenix	3	23835.03	391	9588.82	3396.71	0.00	14246.21
AZV-GTL	Mint Northern Phoenix	4	18732.00	327	6619.55	2812.92	0.00	12112.45
AZV-GTL	Mint Northern Phoenix	5	18391.50	318	7144.46	2658.98	0.00	11247.04
AZV-GTL	Mint Northern Phoenix	6	17763.02	351	6615.59	2710.70	0.00	11147.43
AZV-GTL	Mint Northern Phoenix	7	458.99	12	161.50	64.05	0.00	297.49
AZV-GTL	Mint Northern Phoenix	8	0.00	0	0.00	0.00	0.00	0.00
