# GL Journal Export - 2026-01-15
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:57:51.639Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
AZD-ELMIRA,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"2,592.65",2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,10000,Cash on Hand,00-00,2026-01-15 DS,"12,924.11",0.00,2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.50,2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"9,506.21",0.00,2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"9,506.21",2026-01-15 DS - Mint El Mirage: Daily Sales
AZD-4245IN,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"45,488.15",2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"16,414.44",0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"6,486.49",2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,10000,Cash on Hand,00-00,2026-01-15 DS,"34,000.24",0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,"1,559.96",0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"14,424.76",0.00,2026-01-15 DS - Mint Mesa : Daily Sales
AZD-4245IN,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"14,424.76",2026-01-15 DS - Mint Mesa : Daily Sales
AZV-GTL,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"33,378.71",2026-01-15 DS - Mint Northern Phoenix: Daily Sales
