# GL Journal Export - 2026-01-15
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:57:51.639Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
FLD-MIAMI,10000,Cash on Hand,00-00,2026-01-15 DS,633.60,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,11010,Debit Card Receivable,00-00,2026-01-15 DS,920.00,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,611.72,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,611.72,2026-01-15 DS - Mint Miami: Daily Sales
FLD-O10615,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,869.00",2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,089.75",0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,10000,Cash on Hand,00-00,2026-01-15 DS,559.25,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,220.00",0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,654.59,0.00,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-O10615,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,654.59,2026-01-15 DS - Mint Orlando : Daily Sales
FLD-SARASO,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"7,435.00",2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"4,032.05",0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,10000,Cash on Hand,00-00,2026-01-15 DS,"1,475.95",0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,530.00",0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,397.00,0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,065.52",0.00,2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-SARASO,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,065.52",2026-01-15 DS - Mint Sarasota: Daily Sales
FLD-STAUGU,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"6,244.00",2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"3,247.65",0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,10000,Cash on Hand,00-00,2026-01-15 DS,"1,126.35",0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,870.00",0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,025.27",0.00,2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STAUGU,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,025.27",2026-01-15 DS - Mint St. Augustine: Daily Sales
FLD-STUART,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,836.00",2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,122.35",0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,10000,Cash on Hand,00-00,2026-01-15 DS,989.65,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,11010,Debit Card Receivable,00-00,2026-01-15 DS,650.00,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,74.00,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,916.52,0.00,2026-01-15 DS - Mint Stuart: Daily Sales
FLD-STUART,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,916.52,2026-01-15 DS - Mint Stuart: Daily Sales
ILD-WILLOW,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"11,157.05",2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"3,309.37",0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"2,160.05",2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,10000,Cash on Hand,00-00,2026-01-15 DS,"8,808.15",0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,"1,199.58",0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"5,590.14",0.00,2026-01-15 DS - Mint Willowbrook: Daily Sales
ILD-WILLOW,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"5,590.14",2026-01-15 DS - Mint Willowbrook: Daily Sales
MID-COLDWA,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"11,147.03",2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"3,035.19",0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,40004,Loyalty Discounts,20-00,2026-01-15 DS,303.54,0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"1,346.41",2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,10000,Cash on Hand,00-00,2026-01-15 DS,"9,458.25",0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,303.54,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"5,410.53",0.00,2026-01-15 DS - Mint Coldwater: Daily Sales
MID-COLDWA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"5,410.53",2026-01-15 DS - Mint Coldwater: Daily Sales
MID-KALAMA,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"6,415.56",2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,973.38",0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,40004,Loyalty Discounts,20-00,2026-01-15 DS,436.88,0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,730.62,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,10000,Cash on Hand,00-00,2026-01-15 DS,"4,701.99",0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,33.93,0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"2,976.85",0.00,2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-KALAMA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"2,976.85",2026-01-15 DS - Mint Kalamazoo: Daily Sales
MID-MONROE,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"15,420.37",2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"3,840.26",0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,40004,Loyalty Discounts,20-00,2026-01-15 DS,321.07,0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"1,919.73",2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,10000,Cash on Hand,00-00,2026-01-15 DS,"13,191.60",0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,12.83,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"6,907.60",0.00,2026-01-15 DS - Mint Monroe: Daily Sales
MID-MONROE,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"6,907.60",2026-01-15 DS - Mint Monroe: Daily Sales
MID-NB,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"5,203.15",2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,208.75",0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,40004,Loyalty Discounts,20-00,2026-01-15 DS,135.77,0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,662.18,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,10000,Cash on Hand,00-00,2026-01-15 DS,"4,656.58",0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,135.77,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"2,245.43",0.00,2026-01-15 DS - Mint New Buffalo: Daily Sales
MID-NB,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"2,245.43",2026-01-15 DS - Mint New Buffalo: Daily Sales
MI-GB2,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"12,188.71",2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,479.22",0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,40004,Loyalty Discounts,20-00,2026-01-15 DS,212.28,0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"1,611.75",2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,10000,Cash on Hand,00-00,2026-01-15 DS,"11,118.21",0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,9.25,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"5,804.06",0.00,2026-01-15 DS - Mint Portage: Daily Sales
MI-GB2,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"5,804.06",2026-01-15 DS - Mint Portage: Daily Sales
MID-ROSE,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"8,757.71",2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,661.52",0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,40004,Loyalty Discounts,20-00,2026-01-15 DS,183.18,0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"1,175.01",2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,10000,Cash on Hand,00-00,2026-01-15 DS,"7,607.42",0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,480.60,0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"4,155.14",0.00,2026-01-15 DS - Mint Roseville: Daily Sales
MID-ROSE,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"4,155.14",2026-01-15 DS - Mint Roseville: Daily Sales
MOD-MO4,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"27,839.56",2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"9,124.83",0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,113.65,0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"3,079.68",2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,10000,Cash on Hand,00-00,2026-01-15 DS,"20,538.82",0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,"1,141.94",0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"13,482.12",0.00,2026-01-15 DS - Mint St. Peters: Daily Sales
MOD-MO4,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"13,482.12",2026-01-15 DS - Mint St. Peters: Daily Sales
NVD-PARA,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"24,344.04",2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"7,897.77",0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"2,950.57",2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,10000,Cash on Hand,00-00,2026-01-15 DS,"18,679.88",0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,716.96,0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"8,560.35",0.00,2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-PARA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"8,560.35",2026-01-15 DS - Mint Las Vegas Strip : Daily Sales
NVD-RAIN,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,834.92",2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,271.50",0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,462.89,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,10000,Cash on Hand,00-00,2026-01-15 DS,"2,611.52",0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,414.79,0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,540.96",0.00,2026-01-15 DS - Mint Spring Valley: Daily Sales
NVD-RAIN,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,540.96",2026-01-15 DS - Mint Spring Valley: Daily Sales
